Name,Made from,Country of origin,Region,Family,Type,Fat content (in dry matter),Fat content,Calcium content,Texture,Rind,Colour,Flavour,Aroma,Vegetarian,Producers,Synonyms,Alternative spellings
Abbaye de Belloc,unpasteurized cow's and sheep's milk,France,Pays Basque,,"semi-hard, artisan",,,,"creamy, dense and firm",natural,yellow,burnt caramel,lanoline,yes ,Abbaye de Notre-Dame de Belloc ,Abbaye Notre-Dame de Belloc,
Abbaye de Belval,cow's milk,France,,,semi-hard,,40-46%,,elastic,washed,ivory,,aromatic, no ,,,
Abbaye de Citeaux,unpasteurized cow's milk,France,Burgundy,,"semi-soft, artisan, brined",,,,"creamy, dense and smooth",washed,white,"acidic, milky, smooth","barnyardy, earthy", no ,Frères Frédéric and Joel ,,
Abbaye de Timadeuc,pasteurized cow's milk,France, province of Brittany,,semi-hard,,,,soft,washed,pale yellow,,, no ,Abbaye Cistercienne  NOTRE-DAME DE TIMADEUC,,
Abbaye du Mont des Cats,pasteurized cow's milk,France,Nord-Pas-de-Calais,,"semi-soft, artisan, brined",,50%,,smooth and supple,washed,pale yellow,"milky, salty",floral, no ,Abbaye du Mont des Cats ,,
Abbot’s Gold,pasteurized cow's milk,"England, Great Britain and United Kingdom",North Yorkshire,Cheddar,semi-hard,,,,"creamy, crumbly, dense and semi firm",natural,pale yellow,"mild, sweet, tangy",aromatic,yes ,Wensleydale Creamery,"English Cheddar with Caramelized Onions, Caramelised Onion Cheddar, Abbot's Gold Cheddar with Caramelised Onion",
Abertam,sheep's milk,Czech Republic,Karlovy Vary,,"hard, artisan",,45%,,firm,natural,pale yellow,"acidic, strong, tangy",, no ,,,
Abondance,unpasteurized cow's milk,France,"Haute-Savoie, Abondance",Tomme,"semi-hard, artisan",,48%,,"creamy, open and supple",natural,pale yellow,"acidic, buttery, fruity, sweet",nutty, no ,,,Tomme d'Abondance
Acapella,goat's milk,United States,California ,,"soft, soft-ripened",,,,,,,buttery,"fresh, herbal", no ,Andante Dairy ,,
Accasciato ,Buffalo's and cow's milk,Italy,Campania,,semi-hard,,,,firm,natural,pale yellow,sweet,"aromatic, fresh", no ,Casa Madaio,,
Ackawi,"pasteurized cow's, goat's or sheep's milk","Cyprus, Egypt, Israel, Jordan, Lebanon and Syria",Aker ,Feta,"soft, brined",,,,"elastic, smooth and springy",natural,white,"mild, milky, salty","mild, milky", no ,"Fromagerie Polyethnique, Karoun Dairies Inc.",,"Ackawi, Akawi, Akawieh, Akkawi "
Acorn,unpasteurized sheep's milk,United Kingdom,Bethania,,"hard, artisan",,52%,,crumbly and firm,,,"burnt caramel, citrusy, herbaceous",fruity,yes ,Little Acorn Products,,
Adelost,pasteurized cow's milk,Sweden,,Blue,"semi-soft, blue-veined",,50%,,creamy,natural,blue,"salty, sharp, tangy",strong,yes ,,,
ADL Brick Cheese,pasteurized cow's milk,Canada,Prince Edward Island,Cheddar,semi-soft,,12%,,"elastic, firm, open and soft",rindless,ivory,"buttery, mild, milky, subtle","buttery, sweet",,ADL - Amalgamated Dairies Limited,,
ADL Mild Cheddar,pasteurized cow's milk,Canada,Prince Edward Island,Cheddar,semi-hard,,14%,,firm and springy,rindless,yellow,"acidic, buttery, milky, subtle",,,ADL - Amalgamated Dairies Limited,,
Affidelice au Chablis,pasteurized cow's milk,France,Burgundy,,soft,,55%,26 mg/100g,creamy and smooth,washed,orange,"fruity, mild, tangy","perfumed, strong", no ,Fromagerie Berthaut,,
