Name,Producer,Country,Region,Size,Weight,Website,Milk,Treatment,Classification,Rennet,Rind,Style,Flavor,Description
Abbaye de Belloc,Abbaye de Notre-Dame de Belloc,France,Aquitaine,"8-9 in. diameter, 3-4 in. high",8-10 lbs,,Sheep,Raw,Firm,Animal,NaturalPaprika,Alpine-styleCheddar-like,Flavor added to rind,"Abbaye de Belloc is a French cheese that is made by Benedictine monks at the Abbaye de Notre-Dame de Belloc in the Western Pyrenees. The monks developed this sheep’s milk cheese in the 1960s, though its recipe is based on another local classic, Ossau Iraty.Abbaye de Belloc is produced pasteurized sheep`s milk sourced from red-nosed Manech ewes. Farmhouse sheep’s milk cheese production in this mountainous region is resolutely seasonal, with cheesemaking taking place mainly between December and the end of July.After production, wheels of Abbaye de Belloc are aged for four to ten months prior to release andsale. The youngest wheels are made in December and sent to market in April, while the older cheeses are made in July and held until the following April or May.The rind of Abbaye de Belloc has a reddish hue overlaid with brown and grey molds. Its texture is firm and supple with an interior paste that is dense, smooth, and ivory in color.Abbaye de Belloc is typically sweet and mild in flavor, with a pleasant brown butter aroma and hints of nuts and caramel.Pair with pinotnoir or shiraz."
Abbaye de Citeaux,Frère Joel & Frère Frédéric,France,Burgundy,8 in. diameter.  2 in. high,2 lbs,,Cow,Raw,Semi Soft,Animal,WashedMold Ripened,Soft-Ripened (Brie-like)Washed-Rind,,"Located near Losne in Burgundy, France, Abbaye de Citaux is home to one of the most traditional and classic monastic washed-rind cheeses of Europe. The monks at the Abbaye de Cîteaux make cheese of the same name using the milk of their own herd of red and white Montbéliarde cows. The cows graze in the flat meadows surrounding the abbey for at least six months of the year. Although there is little left of the great Medieval abbeyas it was destroyed shortly after the French Revolution, it remains the spiritual center of the Cistercian Order and is open to the public for guided tours. The Abbey has a Benedictine foundation dating back to 1098 when the monks from Cluny settled in Cîteaux, wishing to follow a more disciplined way of life. (It`s the Abbey at Citeaux that gave its name to the reformed order of ""Cistercians."") The monks originally focused on winemaking, cultivating vines on the Côte d`Or and also building the Château du Clos de Vougeot. During the 19th century the Abbey was destroyed, and it was only after they returned that they took up cheesemaking. Today, the creamery at Abbaye de Citeaux is run by Frère Frédéric, and Frère Joel is the master cheesemaker. Production is small, with only 300 cheeses made every Monday and Tuesday, the majority of which are sold through the Abbey`s shop (the sales represent 50 percent of the Abbey`s income). After production, cheeses mature for three weeks at a temeprature of 37.4degreesFahrenheit and are washed with a brine solution to encourage the growth of the Bacterium Linens mold. By the third week, the rinds have become pale orange in color and are sometimes lightly covered with a white bloomy mold.The aroma of Abbaye de Citeaux is fairly pungent and stronger than the flavor of the cheese. The texture is semisoft and pliable, with a smooth, dense interior paste that is ivory-white in color with occasional small holes. Flavors are clean, milky, earthy, and pleasantly barnyard-y, with a gentle acidity and a lingering finish."
Abbaye de Tamie,Monks of Tamie,France,Savoie,"8 in. diameter, 2-3 in. high",3 lbs,,Cow,Raw,Semi Soft,Animal,Washed,Washed-Rind,,"Made from raw cow`s milk, Abbaye de Tamie is produced by the monks at the Trappist Abbey of Tamié, located at the head of Val de Tamie in the Savoie region of southeastern France. The abbey was founded in 1131 by St. Pierre of Tarantaise and has a long and colorful history. The small dairy and cheesemaking operation is run by twelveof the monks, and it is believed that cheese has been made here for use in the refectory ever since the monastery was established. Although the milk formerly came from the abbey`s own herd, milk from Abondance cows is now sourced from four local farms, collected daily and brought to Tamié. The Monasteries of France are well known for their distinctive washed-rind cheeses, and Abbaye de Tamie is very typical of this style. Raw whole milk is warmed to 93degreesFahrenheit. Starter cultures made at the abbey are added and the milk is left to ripen for about ninetyminutes. Traditional rennet is added and, after the milk has coagulated, the curd is cut into pieces about the size of peas. The curds are then left for twentyminutes to drain naturally before being placed into molds. They`re gently pressed for about four hours to expel some of the remaining whey, which is processed into methanethatheats the abbey`s hot water system. After pressing, the cheeses are removed from the moldsand immersed in a brine bath for two to three hours before being transferred to vaulted cellars, where the temperature is maintained at 57degreesFahrenheit with high humidity. The Abbaye de Tamie is turned andflipped every other day to ensure even distribution of moisture throughout the cheese, and the wheel is washed with a brine solution to encourage the growth of the Bacterium linens mold that is naturally present in the cellar. Cheeses are aged for about four weeks. While maturing, the flavors of the cheese concentrate via moisture loss and evaporation. Appealingly, this is referred to by the monks as the ""Angels` share."" When they are ready for sale, the wheels are wrapped in the abbey`s distinctive blue-and-white paper, decorated with the white cross of Malta.The texture of Abbaye de Tamie is smooth, meltingly soft, and yielding. Rind color is orange-red and feels slightly sticky. The aroma of Abbaye de Tamie (like many other washed rind cheeses) is much more pungent than the flavor of the cheese, which is beautifully balanced and delicate with sweet notes of cream, salt, and hay."
Abbaye du Mont des Cats,Abbaye du Mont des Cats,France,Nord-Pas-de-Calais,"8 in. diameter, 4 in. high",4 lbs,,Cow,,Semi Soft,Vegetable,Washed,Alpine-styleWashed-Rind,,"Abbaye du Mont des Cats is a cow`s milk cheese made by monks at the monastery of the same name near Godewaersvelde (meaning God`s plain) in northern France. Cheese has been made here since 1880 using milk sourced from local farms. The cheese was a traditional favorite with the crews of sailing ships. Today, although tastes and patrons have changed, this small independent dairy still produces about 200 tons of cheese each year. Production methods for Abbaye du Mont des Cats are similar to those used for Port Salut. Milk is gently pasteurized for cheese production, and maturation takes place over a period of four to five weeks. During this time, cheeses are washed with a brine solution to encourage the growth of the Bacterium linens mold. They`re also dyed with roucou, a natural red dye derived from the seeds of the annatto shrub.The texture of Abbaye du Mont des Cats is smooth and supple, dotted with occasional small holes. The rind is an orange-red color and slightly tacky to the touch. Flavors are mild and subtle with notes of milk and hay."
Abondance,Various,France,Haut Savoie,"2 ¾ in. tall, 15 ¾ in. diameter",15 - 26 lbs,www.fromageabondance.fr/en/,Cow,Raw,Firm,Animal,Natural,Alpine-style,,"Named after a valley in the French Alps where the cheese is made-as well as the village where it was first produced-Abondance is a cheese with a long history. The Valley of Abondance, located in the Haute-Savoie region of the French Alps, is where France and Switzerland meet, but Abondance is made only on the French side of the border. For fifteencenturies, Abondance cows, with their brown bodies and distinctwhite markings, have grazed in Alpine pastures at altitudes of 4,300 to 6,000 feet above sea level during the summer. Along with two other local breeds, Tarentaise and Montbéliarde, Abondance cows produce the milk for this AOC/PDO-certified cheese. The first written record of Abondance is from the twelfth century. Monks in the valley began producing Abondance as a means of generating income for their monasteries. By the fourteenth century, the cheese had won acclaim throughout Europe, and in 1381 it was served to the Papal enclave in Avignon. Due to its long history, in 1990 it was awarded Appellation d’Origine Contrôlée protection. As part of this designation, Abondance must be made in a traditional manner, which includes regulations around the communities of dairies that produce the cheese. Currently there are around sixty licensedfarm and co-operative producers, or fruitières, of the cheese. They`re all located in the Haute-Savoie region, and the milk for the cheese must hail from the same area. To make the cheese, raw milk is poured into a copper cauldron, which is heated to warm the milk. Rennet is added to coagulate the milk and, once the curds are formed, they are cut and re-heated to a higher temperature before being cut again by hand. Then, using cheesecloth, curds are strained and placed into molds, which form the iconic wide wheels with concave sides. Once the shape of the cheese is established, thewheelsare removed from their molds, salted, and placed on spruce shelves in moist caves.Abondance has a bright orange rind as a result of its 100-day aging in the cool and moist aging caves. The interior paste is light yellow with a slight sheen and a few small eyes dotted throughout. The texture is smooth and rich. Like many other alpine cheeses, Abondance has a floral flavor with undertones of hazelnuts and nice acidity. Its flavors linger on the tongue.This cheese pairs nicely with various beers and dry white wines. It can be used as a table cheese and works best when served with green apples or cornichons. It also works very well in fondue or melted over root vegetables."
Acapella,Andante Dairy,United States,California,Varies,Varies,www.andantedairy.com,Goat,Pasteurised,Soft,Microbial,Mold RipenedAsh coated,Soft-Ripened (Brie-like),,"Established in 1999, Andante Dairy is owned and operated by Soyoung Scanlan. The creamery is located at the Volpi Ranch near Petaluma, just north of San Francisco, California, which is also the source for Scanlan`s goat`s milk. For her cow`s milk cheeses, milk is brought in from the 400-strong herd of Jersey cows at nearby Spring Hill Dairy. Prior to becoming a cheesemaker, Scanlan had a successful career working as a biochemist in both the engineering and scientific research fields. She also has a strong background in classical music as an avid pianist, making her a rare combination of talents that seem to converge over the cheesemaking vat. Having intensely studied the properties of milk and cheesemaking for two years, including a stint at California Polytechnic State University in San Luis Obispo, Scanlan has become a highly respected figure in the artisan cheese industry. She is known for producing small quantities of extremely high-quality cheeses, many of which are made in the French style. Scanlan works alone by choice. Her cheesemaking facility is clean, simple, highly organized, and has plenty of space to move about. Her early cheesemaking career was greatly encouraged and inspired by Thomas Keller, owner and chef of the French Laundry in Yountville. Keller and Scanlan both have a tremendous eye for detail and perfection, and it is these qualities that shine though in all aspects of Scanlan`s cheese. At Andante, she produces a range of cheeses made from cow, sheep, and goat`s milk, or combinations of the three. Produced from pasteurized goat’s milk, Acapella is made in three distinct versions. There is a truncated pyramid, aged to give a firmer cheese; there is a gently giving little three-ounce round; and there is also a larger four- to six-ounce ash-coated round. Each iteration exhibits Scanlan’s characteristic delicacy of touch, coaxing intense, clean flavors out of her raw materials.Flavors are mild and buttery with a slightly tart finish.Acapella pairs well with white Burgundy."
Adams Reserve Cheddar,Great Lakes Cheese,United States,New York,,40 lbs,www.adamsreserve.com,Cow,Pasteurised,Hard,Vegetable,Plasticoat,Cheddar-like,,"Adams Reserve is produced by Great Lakes Cheese, a dairy company that was founded in 1958 in Ohio by Swiss immigrant Hans Epprecht. Since then Great Lakes Cheese has grown substantially, today comprising eight facilities around the country. This line of cheddars is produced in the small town of Adams, New York, and milk is sourced from farms within a 50-mile radius of the facility. The environmental conditions of the upstate New York region contribute to the distinct flavor of the cheese. During production this cheddar is formed into 40-pound blocks, which are then combined to form a giant block of 640 pounds. The cheese is aged in plastic for a minimum of nine months.Dense, toothsome and fudgy in texture—akin to the toughness of a medium-rare steak—this cheese is mouthwateringly sharp. Simultaneously earthy and bright, there are hints of coffee and strawberries and a deep complexity. Its middle-of-the-road moisture content allows its mild piquancy to stand front-and-center, accented by waves of chivy must. A must-try for lovers of strong, sharp cheddar.Pair this cheddar with a dry red such as a Burgundy or Zinfandel. For white wines, try it with a Sauvignon Blanc or Pinot Grigio."
Adantino with Tarragon,Andante Dairy,United States,California,"3.5 in. long, 1.5 in. wide, 0.75 in. high",5 oz,www.andantedairy.com,Goat,Pasteurised,Soft,Microbial,Mold Ripened,Soft-Ripened (Brie-like),Flavor added to paste,"Established in 1999, Andante Dairy is owned and operated by Soyoung Scanlan. The creamery is located at the Volpi Ranch near Petaluma, just north of San Francisco, California, which is also the source for Scanlan`s goat`s milk. For her cow`s milk cheeses, milk is brought in from the 400-strong herd of Jersey cows at nearby Spring Hill Dairy. Prior to becoming a cheesemaker, Scanlan had a successful career working as a biochemist in both the engineering and scientific research fields. She also has a strong background in classical music as an avid pianist, making her a rare combination of talents that seem to converge over the cheesemaking vat. Having intensely studied the properties of milk and cheesemaking for two years, including a stint at California Polytechnic State University in San Luis Obispo, Scanlan has become a highly respected figure in the artisan cheese industry. She is known for producing small quantities of extremely high-quality cheeses, many of which are made in the French style. Scanlan works alone by choice. Her cheesemaking facility is clean, simple, highly organized, and has plenty of space to move about. Her early cheesemaking career was greatly encouraged and inspired by Thomas Keller, owner and chef of the French Laundry in Yountville. Keller and Scanlan both have a tremendous eye for detail and perfection, and it is these qualities that shine though in all aspects of Scanlan`s cheese. At Andante, she produces a range of cheeses made from cow, sheep, and goat`s milk, or combinations of the three. Andantino is a bite-sized goat’s milk cheese with tarragon infused into the milk.Curds are hand ladled into the cheese molds during production, which ensures a delicate texture to the paste. Andantino has a fresh, pleasant goat’s milk flavor that works harmoniously with herbaceous notes of tarragon.Serve Andantino with fresh bread."
Aged Cheddar (Grafton),Grafton Village Cheese,United States,Vermont,Varies,8 oz; 1 lb; 5 lbs; 10 lbs,http://www.graftonvillagecheese.com/,Cow,Raw,Firm,Microbial,NonePlastic,Cheddar-like,,"Located in Vermont, the Grafton Cooperative Cheese Company was originally founded in 1892 with the purpose of converting surplus milk from local dairy farmers into cheese. Years later, a fire destroyed the original factory. The factory and the company were restored in the mid-1960s by The Windham Foundation, a philanthropic organization that supports the rural community surrounding Grafton via educational and practical means. Today, Grafton Cheese handcrafts artisanal, aged cheddar, and specialty cheeses. Proceeds from the sale of these cheeses support the Windham Foundation’s charitable efforts.Grafton Village’s classic cheddar cheeses are aged from one to four years. Texture and flavor of the cheese varies depending on age. The youngest of the Grafton Village Cheddars available for sale, One Year Aged Cheddar, is medium in intensity, with satisfying sweet and buttery flavors. Grafton’s signature cheddar, Two Year Aged Cheddar, has a bold flavor with tangy, lactic notes and hints of hay and brown butter. Three Year Aged Cheddar is boldly complex with a bright, lactic flavor profile, hints of toasted hazelnuts, and a lingering, piquant finish. And, finally, Four Year Aged Cheddar, a rarity among raw-milk cheddars, is characterized by bright and bold flavors reminiscent of whiskey and toasted nuts, mellowing into a sweet finish."
Airco,Carr Valley Cheese Co,United States,Wisconsin,"8 ins diameter, 4 ins high",10 lbs,www.carrvalleycheese.com,GoatSheepCow,Pasteurised,Semi Soft,Vegetable,Smoked,Alpine-styleCheddar-like,Smoked,"Located in the rolling hills of central Wisconsin, Carr Valley Cheese remains one of Wisconsin`s most traditional cheese plants, famous for its Wisconsin cheddar varieties, as well as a host of more modern cheeses. Now owned and operated by Sid Cook, Carr Valley was founded in 1902, but the Cook family has been making cheese since 1883.  Sid is a fourth generation cheesemaker. The first cheese plant that his father operated was in Irish Valley, where Sid worked with his father for several years before taking over the business in the mid 70`s. During this time Sid also learned how to make his own cultures from his father and grandfather. He and his brother made Wisconsin-style cheddar at that location for ten years, and Sid eventually purchased Carr Valley in 1986 and another cheesemaking facility in 1991, with a layout that would allow for more flexibility and the development of more styles of cheese.  Carr Valley now sources cow`s milk from 40 farms, all located within 20 miles of the plant, and each milking no more than 70 cows. Sheep`s milk comes largely from one dairy and goat`s milk from a group of eight farms in the Green Bay area. Carr Valley makes over 65 different cheeses.  Made from a blend of sheep, goat and cow’s milk, production of Airco takes place in small batches with the aim of creating a cheese with a smooth, pliant texture.The rind of Airco is golden brown with an interior paste that is ivory in color.Finished cheeses are then naturally smoked over apple wood. This creates an array of balanced flavors that begin with sweet notes of sheep and cow’s milk and evolve into gentle flavors of goat’s milk mingled with smoke. This provides a cheeses with great depth and length of flavor.Good wine pairings include Pinot Gris, Chardonnay and Merlot."
