Name,Milk,Region,Description
Abbaye de Belloc,sheep,FR,From the Pyrenees. Probably the cheese most recommended to us in 2005. We like it but don't love it.
Abbaye de Citeaux,cow/R,FR,Produced by the monks of the Abbey of Saint Nicholas Les Citeaux in Burgundy since beginning of 20th century. Made from milk of Montbeliard cows and is milder than other washed rind cheeses. The one we enjoyed was from Hérve Mons
Abbaye de Tamie,cow,FR,"Similar to Reblochon but larger - a pressed uncooked washed rind cheese, made by monks in the Trappist abbey of Tamié."
Acappella,goat,"CA, US","Andante in Petaluma, CA. A small cheese with a white mold covered ash layer making a springy rind. The pate is pure white with a slight tang. The cheese is made with 100% goat's milk and comes in a round and pyramid form. We enjoyed the small round."
Affidelice,cow,FR,Made by Berthaudt in Burgundy. A washed rind cheese; washed in Chablis. It’s less pungent and more approachable than Epoisses. Has replaced D’affinois in our household.
Aged Chelsea,goat,"MI, US","From Zingerman's Creamery. Mold ripened and aged for 3–5 weeks, pate has a hint of mushroom flavor. Smooth, creamy, very mild (and not very goaty)."
Alpage Prattigau,cow,CH,A Rolf Beeler selection. Made from milk of cows which graze on a single alp in Prattigau valley. The cheese has sweet nutty flavor with notes of caramel and butterscotch.
Alta Robiola Bosina,c-s,IT,"Cow and sheep's milk from Langhe/Piedmonte region, a soft cheese with a bloomy rind."
Amish Frolic,cow/r,"NJ, US","Made by a collaboration between Bobolink Dairy and 3 Amish farmers. It is a simple cheese made from pasture grazed raw milk. It is a hard cheese, with a hearty character and mild bite. It is available seasonally."
Appenzellar,cow,CH,"Gold or Black label???   Very nutty, spicy finish."
Ardrahan,cow,IRL,"Neal’s Yard. Made by Mary Burns in Kanturk, Co. Cork. A semi-soft washed rind cheese with a pungent aroma, Ardrahan cheese has buttery textured honey-coloured centre with a complex delicate flavor."
Ascutney Mountain,cow,"VT, US","Made by Cobb Hill from raw Jersey cows' milk. It's a hard alpine-style cheese similar to Appenzeller but with a Cheddar-like element. It has a sweet, nutty sligthly buttery flavor and melts easily. Made by Marsha Carmichael and Gail Holmes."
Aseitao or Azeitao,sheep/r,SP,Semi-soft. Buttery. Pleasant.
Bachtelstein,cow,CH,"A cow’s milk cheese made in Girenbad, near Zurich in Switzerland at the Brook Thal Cheese Factory. It is brick-shaped with a textured brown rind, the pate is golden almost brownish towards the edges but smooth with a taste of grass, nuts, and wild flowers."
Bagòss di Bagolino,cow/R,IT,Hard uncooked cheese made from part-skimmed milk. From northern part of Brescia. Mountain-style. Brushed with raw linseed oil. Aged versions are flakey and grateable. A red wine cheese.
Baita Friuli,cow,IT,Clean fruity taste. Firm. Aged about 5 months. Similar to Asiago or Gruyere. Grateable and meltable. Smooth flavor.
Bandon Vale,cow,IRL,"Vintage Mature Irish Cheddar Lauragh Industral Bandon, Co. Cork. A medium cheddar which melted nicely."
Barat,cow,"NY, US",Sprout Creek Farm. Artisanal cheese made from grass fed cow’s milk. Dry andcheddar-like in texture.
Beaufort,cow,FR,"An alpine cheese made from the milk given by the mahogany-coloured Beaufort cows. When young it has a mild fruity, sweet taste which becomes stronger and more complex with age."
Bergblumenkase,cow/r,CH,"Means ""mountain flower'.  A washed rind cheese smeared with herbs."
Bermuda Triangle,goat,"CA, US","From Cypress Grove. A small triangle, double rind cheese with an ash layer covered with a white bloom rind Smooth and creamy with a light flavor and a mushroomy element. Chalky in the center and more runny near the rind as it ages."
Bethmale,c or g,FR,From the Pyrenees. Farmhouse cheese - rind has an leathery appearance. A mellow cheese providing a fruity spicy flavor and a somewhat pungent aroma which becomes stronger with age.
Bianco Sardo,sheep,IT,From Sardegna. A percorino style cheese. Good. Almost comte like notes. Flowery and complex.
Bica,goat,PT,"Mixed Milk. A raw farmhouse cheese . Mild, buttery flavor & satiny texture. Slightly because its milk comes from animals that graze on land by the sea."
Bishop's Blessing,wbuff,ENG,Farmstead cheese made from water buffalo milk and vegetable rennet by Monastery Cheese Makers in England.
Black Gold,goat/p,"CA, US","Elk Grove Creamery in Fort Bragg, CA (associated with Flowers by the Sea a biodynamic flower grower) make this pasteurized goat's milk bloomy rind ash coated cheese. It's creamy and salty and has a goat tangy. The rind is also slightly peppery. I would expect that the cheese is biodynamic but I don't know for sure. We liked this cheese."
Black Mountain,cow,Wales,Made by Abergavenny and exported by Somerdale. A mature cheddar flavored with herbs and garlic. Unusual flavor. Sharp finish. Good with pickles.
Blanc Bleu de Rizet,goat/r,FR,From Pascal Beillevaire
Blank Slate,cow,"WA, US","from Beechers. A honey'd farmer's cheese. Spreadable. A greally great ""blank slate"" for jam or savory spreads. Great for appetizers or breakfast."
Bleu de Bocage,goat/p,FR,From Pascal Beillevaire
Bleu de Causses,cow,FR,Matured for 3 to 6 weeks in natural caves. Summer cheese has a soft grassy pasturey flavor. Flavors more pronounced in winter-made cheese. Look for one affiné by Herve Mons.
Bleu de Sassenage,cow,FR,Blue with a slight bitterness on the finish. Very salty finish. Madeira pairing turns it into a different cheese.
Bloomsday,goat,"CA, US",An aged goat cheese from Pugs Leap in Healdsburg. Green blue mold on the outside of a bloomy rind.
Blu de Montviso,sheep/r,IT,Made by La Bottera di Sarale. From the Maritime Alps of Italy.
Blu del Moncenisio,cow,IT,Blue veined cheese with dense and almost cooked greens characteristics. Creamy.
Blue D’Auvergne,cow,FR,A mild creamy blue.
Blue de Gex,cow,FR,"Official name: Blue du Haut Jura; it is also known as Blue de Septmoncel. Blue de Gex is produced in the small mountain dairies that employ the traditional methods that have been handed down from the 14th century. It is produced only from the Montbeliardes or Pie rouge de l’Est cows which graze on these mountains. The rind is very fine and yellowish. The ivory white dough has evenly distributed greeny-blue veins. The pate is creamy, almost crumbly when touched. Nutty tasting."
